districtId,total_population,population_60_plus,share_60_plus
1001,82258,9249,0.112438911716794
1002,235782,24082,0.102136719512092
1003,210305,25790,0.122631416276361
1004,77249,9497,0.122940102784502
1051,133900,17739,0.132479462285288
1053,187138,22976,0.122775705629001
1054,163665,20922,0.127834295664925
1055,198413,28719,0.144743539989819
1056,296341,36302,0.122500767696674
1057,127676,17519,0.137214511732824
1058,269364,34104,0.126609346460552
1059,196025,25256,0.128840709093228
1060,260665,31393,0.120434273876431
1061,130783,16227,0.124075759081838
1062,230555,29079,0.126126087050812
2000,1706696,180301,0.105643301443256
3101,242537,27134,0.111875713808615
3102,98895,13056,0.132018807826483
3103,119984,15387,0.128242098946526
3151,171331,18790,0.109670754270973
3153,140137,19884,0.141889722200418
3154,91410,11837,0.129493490865332
3155,137446,18353,0.133528804039405
3157,130398,15373,0.117892912467983
3158,120773,15346,0.127064824091477
3159,324823,39155,0.120542572416362
3241,1102242,128196,0.116304767918479
3251,211184,25847,0.12239090082582
3252,150259,19849,0.132098576457983
3254,277594,34393,0.1238967701031
3255,73547,10290,0.139910533400411
3256,122242,14316,0.117111958246756
3257,157497,20487,0.130078668165108
3351,176690,21938,0.124160959873224
3352,198778,26948,0.135568322450171
3353,238442,29418,0.123375915316932
3354,49205,7271,0.147769535616299
3355,174123,18844,0.108222348569689
3356,110907,13815,0.124563823744218
3357,162726,18540,0.113933851996608
3358,136693,16673,0.12197405865699
3359,195450,22836,0.116838066001535
3360,93595,12442,0.132934451626689
3361,132300,15957,0.120612244897959
3401,73322,9225,0.125814898666158
3402,49787,5889,0.118283889368711
3403,157267,16221,0.103143062435222
3404,153699,16043,0.104379338837598
3405,77451,10556,0.136292623723386
3451,117912,14404,0.122158898161341
3452,187135,22950,0.122638736740856
3453,159337,14381,0.090255245172182
3454,311089,32214,0.10355235961413
3455,98229,13430,0.136721334840017
3456,133395,14954,0.112103152292065
3457,163832,18996,0.115948044338102
3458,125014,14648,0.117170876861791
3459,350147,37960,0.108411609980951
3460,132294,11731,0.08867371158178
