NUTS3,districtId
DEF01,1001
DEF02,1002
DEF03,1003
DEF04,1004
DEF05,1051
DEF06,1053
DEF07,1054
DEF08,1055
DEF09,1056
DEF0A,1057
DEF0B,1058
DEF0C,1059
DEF0D,1060
DEF0E,1061
DEF0F,1062
DE600,2000
DE911,3101
DE912,3102
DE913,3103
DE914,3151
DE916,3153
DE917,3154
DE918,3155
DE91A,3157
DE91B,3158
DE91C,3159
DE929,3241
DE922,3251
DE923,3252
DE925,3254
DE926,3255
DE927,3256
DE928,3257
DE931,3351
DE932,3352
DE933,3353
DE934,3354
DE935,3355
DE936,3356
DE937,3357
DE938,3358
DE939,3359
DE93A,3360
DE93B,3361
DE941,3401
DE942,3402
DE943,3403
DE944,3404
DE945,3405
DE946,3451
DE947,3452
DE948,3453
DE949,3454
DE94A,3455
DE94B,3456
DE94C,3457
DE94D,3458
DE94E,3459
DE94F,3460
DE94G,3461
DE94H,3462
DE501,4011
DE502,4012
DEA11,5111
DEA12,5112
DEA13,5113
DEA14,5114
DEA15,5116
DEA16,5117
DEA17,5119
DEA18,5120
DEA19,5122
DEA1A,5124
DEA1B,5154
DEA1C,5158
DEA1D,5162
DEA1E,5166
DEA1F,5170
DEA22,5314
DEA23,5315
DEA24,5316
DEA2D,5334
DEA26,5358
DEA27,5362
DEA28,5366
DEA29,5370
DEA2A,5374
DEA2B,5378
DEA2C,5382
DEA31,5512
DEA32,5513
DEA33,5515
DEA34,5554
DEA35,5558
DEA36,5562
DEA37,5566
DEA38,5570
DEA41,5711
DEA42,5754
DEA43,5758
DEA44,5762
DEA45,5766
DEA46,5770
DEA47,5774
DEA51,5911
DEA52,5913
DEA53,5914
DEA54,5915
DEA55,5916
DEA56,5954
DEA57,5958
DEA58,5962
DEA59,5966
DEA5A,5970
DEA5B,5974
DEA5C,5978
DE711,6411
DE712,6412
DE713,6413
DE714,6414
DE715,6431
DE716,6432
DE717,6433
DE718,6434
DE719,6435
DE71A,6436
DE71B,6437
DE71C,6438
DE71D,6439
DE71E,6440
DE721,6531
DE722,6532
DE723,6533
DE724,6534
DE725,6535
DE731,6611
DE732,6631
DE733,6632
DE734,6633
DE735,6634
DE736,6635
DE737,6636
DEB11,7111
DEB12,7131
DEB13,7132
DEB14,7133
DEB15,7134
DEB1C,7135
DEB17,7137
DEB18,7138
DEB1D,7140
DEB1A,7141
DEB1B,7143
DEB21,7211
DEB22,7231
DEB23,7232
DEB24,7233
DEB25,7235
DEB31,7311
DEB32,7312
DEB33,7313
DEB34,7314
DEB35,7315
DEB36,7316
DEB37,7317
DEB38,7318
DEB39,7319
DEB3A,7320
DEB3B,7331
DEB3C,7332
DEB3D,7333
DEB3E,7334
DEB3F,7335
DEB3G,7336
DEB3H,7337
DEB3I,7338
DEB3J,7339
DEB3K,7340
DE111,8111
DE112,8115
DE113,8116
DE114,8117
DE115,8118
DE116,8119
DE117,8121
DE118,8125
DE119,8126
DE11A,8127
DE11B,8128
DE11C,8135
DE11D,8136
DE121,8211
DE122,8212
DE123,8215
DE124,8216
DE125,8221
DE126,8222
DE127,8225
DE128,8226
DE129,8231
DE12A,8235
DE12B,8236
DE12C,8237
DE131,8311
DE132,8315
DE133,8316
DE134,8317
DE135,8325
DE136,8326
DE137,8327
DE138,8335
DE139,8336
DE13A,8337
DE141,8415
DE142,8416
DE143,8417
DE144,8421
DE145,8425
DE146,8426
DE147,8435
DE148,8436
DE149,8437
DE211,9161
DE212,9162
DE213,9163
DE214,9171
DE215,9172
DE216,9173
DE217,9174
DE218,9175
DE219,9176
DE21A,9177
DE21B,9178
DE21C,9179
DE21D,9180
DE21E,9181
DE21F,9182
DE21G,9183
DE21H,9184
DE21I,9185
DE21J,9186
DE21K,9187
DE21L,9188
DE21M,9189
DE21N,9190
DE221,9261
DE222,9262
DE223,9263
DE224,9271
DE225,9272
DE226,9273
DE227,9274
DE228,9275
DE229,9276
DE22A,9277
DE22B,9278
DE22C,9279
DE231,9361
DE232,9362
DE233,9363
DE234,9371
DE235,9372
DE236,9373
DE237,9374
DE238,9375
DE239,9376
DE23A,9377
DE241,9461
DE242,9462
DE243,9463
DE244,9464
DE245,9471
DE246,9472
DE247,9473
DE248,9474
DE249,9475
DE24A,9476
DE24B,9477
DE24C,9478
DE24D,9479
DE251,9561
DE252,9562
DE253,9563
DE254,9564
DE255,9565
DE256,9571
DE257,9572
DE258,9573
DE259,9574
DE25A,9575
DE25B,9576
DE25C,9577
DE261,9661
DE262,9662
DE263,9663
DE264,9671
DE265,9672
DE266,9673
DE267,9674
DE268,9675
DE269,9676
DE26A,9677
DE26B,9678
DE26C,9679
DE271,9761
DE272,9762
DE273,9763
DE274,9764
DE275,9771
DE276,9772
DE277,9773
DE278,9774
DE279,9775
DE27A,9776
DE27B,9777
DE27C,9778
DE27D,9779
DE27E,9780
DEC01,10041
DEC02,10042
DEC03,10043
DEC04,10044
DEC05,10045
DEC06,10046
DE300,11000
DE401,12051
DE402,12052
DE403,12053
DE404,12054
DE405,12060
DE406,12061
DE407,12062
DE408,12063
DE409,12064
DE40A,12065
DE40B,12066
DE40C,12067
DE40D,12068
DE40E,12069
DE40F,12070
DE40G,12071
DE40H,12072
DE40I,12073
DE803,13003
DE804,13004
DE80J,13071
DE80K,13072
DE80L,13073
DE80M,13074
DE80N,13075
DE80O,13076
DED41,14511
DED42,14521
DED43,14522
DED44,14523
DED45,14524
DED21,14612
DED2C,14625
DED2D,14626
DED2E,14627
DED2F,14628
DED51,14713
DED52,14729
DED53,14730
DEE01,15001
DEE02,15002
DEE03,15003
DEE04,15081
DEE05,15082
DEE07,15083
DEE08,15084
DEE09,15085
DEE06,15086
DEE0A,15087
DEE0B,15088
DEE0C,15089
DEE0D,15090
DEE0E,15091
DEG01,16051
DEG02,16052
DEG03,16053
DEG04,16054
DEG05,16055
DEG0N,16056
DEG06,16061
DEG07,16062
DEG0P,16063
DEG09,16064
DEG0A,16065
DEG0B,16066
DEG0C,16067
DEG0D,16068
DEG0E,16069
DEG0F,16070
DEG0G,16071
DEG0H,16072
DEG0I,16073
DEG0J,16074
DEG0K,16075
DEG0L,16076
DEG0M,16077
