districtId,alpha_95PR,average_age,average_household_size,inhib_coef_april_01_14,mean_alpha_Mar_25_31,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,ruralness_index,socio_economic_status_index,cluster,total_population,population_60_plus,share_60_plus
2000,1.3847172619047619,41.9,1.9,-0.00980297936632205,0.986012746787828,"KS Hamburg, Freie und Hansesta",6.0,15.8,7.7,2043.0,3444.0,1.97666666666667,78.5,83.2,3103.9,31.3,3905.7,1156.0,7.6,2334.0,66.0,65.0,31.5,38.9,67.4,-5.053322767752559,2.8630640407734522,1.0,1706696.0,180301.0,0.105643301443256
3101,1.4749999999999994,43.0,1.9,-0.008900296466492067,1.058831267776,KS Braunschweig,5.5,31.9,7.7,497.0,3247.0,1.30666666666667,77.6,83.1,2675.9,49.8,2751.0,815.0,8.3,1293.0,56.3,80.6,34.7,43.8,68.8,-2.411740500639122,1.2900087888617262,3.0,242537.0,27134.0,0.111875713808615
3102,1.2903846153846155,44.6,2.1,-0.008648155501150055,1.0,"Salzgitter, Stadt",3.8,71.85,9.3,383.0,3785.0,1.505,76.2,81.4,3042.0,68.2,1542.0,795.0,3.8,442.0,65.7,46.8,28.1,46.0,75.6,-0.903680488339593,0.4649940044114389,2.0,98895.0,13056.0,0.132018807826483
3103,1.6666666666666667,44.2,2.1,0.00745273267070102,1.256087997685292,KS Wolfsburg,4.2,38.1,5.4,310.0,4504.0,1.925,78.3,82.9,4039.1,65.4,1927.9,1846.0,8.8,603.0,50.4,46.7,29.1,45.1,80.2,-0.8901242240352258,6.019066553971298,1.0,119984.0,15387.0,0.128242098946526
3151,1.4642857142857144,41.9,2.5,-0.013469138833176277,1.1259433144128017,Gifhorn,4.8,30.5,5.5,199.0,2907.0,24.9516666666667,78.2,83.6,2059.4,85.8,1022.5,592.0,2.6,110.0,46.4,26.4,23.6,51.1,94.44,1.4257718684251253,0.18978120560397904,4.0,171331.0,18790.0,0.109670754270973
3153,1.3660869565217388,46.6,2.0,0.0011958159275378588,1.0471901029548083,Goslar,6.7,69.7,9.2,195.0,2727.0,25.0266666666667,77.1,82.1,2224.1,87.0,1305.9,542.0,2.7,142.0,64.1,80.4,39.3,51.2,83.9,0.8849601462320642,-1.7473604113742742,4.0,140137.0,19884.0,0.141889722200418
3154,1.3746031746031733,45.1,2.2,-0.018121029156645298,1.1004693921318334,Helmstedt,5.6,69.5,7.8,228.0,2536.0,13.73,76.1,81.2,2122.0,84.0,1118.8,503.0,4.5,135.0,51.7,85.0,39.7,51.3,89.6777777777778,0.8117921308958533,-2.1312795389717007,0.0,91410.0,11837.0,0.129493490865332
3155,1.4824999999999997,45.4,2.3,0.0007759615549882306,0.9573119731159092,Northeim,5.2,64.9,7.3,205.0,2757.0,30.6791666666667,77.3,82.1,2229.1,87.2,914.5,577.0,-0.9,106.0,79.2,33.4,30.1,52.0,90.0181818181818,1.4702072155308619,-1.3917310279437412,4.0,137446.0,18353.0,0.133528804039405
3157,1.4749999999999999,43.3,2.3,-0.009033777360262276,1.2085017766989286,Peine,3.9,39.6,6.4,387.0,2800.0,16.555,77.6,82.1,2150.1,79.3,1362.8,577.0,3.8,244.0,52.1,23.9,33.8,50.1,92.825,0.6099960211824081,-0.36961383524876007,4.0,130398.0,15373.0,0.11789291246798299
3158,1.7249999999999979,44.4,2.2,-0.014792468570756025,1.0492414372556231,Wolfenbüttel,3.8,71.85,6.5,300.0,2786.0,12.876666666666699,78.1,82.2,2094.6,86.5,1379.6,599.0,3.0,166.0,47.5,24.7,33.6,51.2,91.65,0.7507153505700591,-0.7889102031719932,4.0,120773.0,15346.0,0.12706482409147699
