OSM_ID,AGS_5
6276800,8311
6252100,9773
6278000,9564
6262000,9373
216823300,9163
6244400,3405
6239700,3462
6277002,5562
6277001,5562
6277000,5562
6244200,5566
6236700,7336
6234800,7138
6247400,10043
2702500,1055
6277200,9361
6237400,9563
6266400,9774
6256500,9362
6241100,9362
6273900,9673
6250500,12062
6264300,6534
6240500,13003
6240502,13003
6240501,13003
6259700,3453
6264700,3151
6266800,7231
6244300,7141
2701600,1061
6242400,16064
280407800,8425
6234000,8211
6275000,8121
6275100,8121
6234400,8325
6266300,9171
6246900,9775
6239000,9577
6255400,9363
97533900,9363
6274300,3360
183101500,5962
6257204,7111
6251200,7111
6238400,14625
6244700,16073
6237700,9771
6276500,9371
6270700,9279
6255300,12060
6273000,6431
6266900,3153
6274204,3254
6274202,3254
6274200,3254
6274203,3254
6274201,3254
6266600,3460
6252400,5762
6274100,7133
6256900,7135
6234600,10046
2701900,1054
6240800,1056
6267100,16052
280662300,8435
194636700,8315
6260100,8235
6271600,8337
6255901,4011
6255902,4011
6255900,4011
6255903,4011
6265801,4012
6265800,4012
6258500,6533
6245200,5358
6271300,5113
6271302,5113
6271301,5113
6267900,7134
6245100,7312
6265200,7312
6272401,7316
6272400,7316
6236000,7317
6264200,7317
6238700,10042
6242900,15085
194611700,8316
28586400,8221
28586402,8221
28586401,8221
6239300,8215
6258200,8127
6272000,9565
6273800,12070
6269200,6531
6258600,6636
6264800,3458
6248200,3359
6266500,5334
6254700,14730
6248500,14628
2702700,1003
2702703,1003
2702701,1003
2702702,1003
280877400,8436
6254800,9372
216823000,9175
208346600,9272
214517900,9475
6268600,9376
6253700,12073
6240900,3403
6265901,3102
6265900,3102
182906600,5954
6248900,5166
6294300,14523
6241900,16070
6247100,8231
6272300,8231
6253200,9661
6256100,9463
6271700,9463
6240300,9562
6258900,9464
6240400,9676
6253400,9662
6249100,9479
6276401,3241
6276404,3241
6276402,3241
6276403,3241
6276400,3241
6276200,3257
6264602,5711
6264600,5711
6264604,5711
6264603,5711
6264601,5711
6244900,5316
6253500,5162
6254400,5382
6234700,7314
6268100,15087
6270300,1053
6235600,9177
6269400,6435
6256300,6635
173937700,13072
6241800,3103
6278500,14524
6252000,9674
215636200,9187
6265600,6433
6238200,6436
6268500,13004
6253104,3101
6253100,3101
6253102,3101
6253103,3101
6253101,3101
6253900,5111
6253904,5111
6253903,5111
6253901,5111
6253902,5111
6257800,5315
6257803,5315
6257802,5315
6257804,5315
6257801,5315
6235200,7318
6236200,7143
6262400,8317
6269000,8326
6238300,9476
6269500,6413
173937600,13071
6260600,5554
6255500,5366
6276700,5370
6273400,5119
6261500,7233
6246600,10044
6263900,15084
6271200,9172
6248400,9261
6265700,9261
6267200,9776
6262900,9262
6254100,9262
31824800,12064
6248800,12065
6270400,6432
173938000,13074
6260800,3351
6263100,3404
6267300,3459
6272500,15090
6259400,14511
2702100,1002
6257700,8226
6255600,9174
6277800,9573
6259000,9764
6270000,6631
6252700,7140
