districtId,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,Baulandpreise,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,total_population,population_60_plus,average_age,average_household_size,share_female
3159,Göttingen,4.65,53.3,7.85,199.5,2888.5,27.23125,77.25,82.2,2330.5,85.4,1296.9,599,1.4,50.45,170,68.95,91.9,37.25,49.6,87.9636904761905,324823,39155,44.75,2.1,0.5136489719016203
3241,Region Hannover,4.9,33.0,8.5,468.0,3194.0,17.4066666666667,78.4,83.4,2682.2,73.5,2216.4,814,6.9,166.1,492,59.5,62.6,33.2,45.2,85.9,1102242,128196,43.2,2.0,0.5169200592973231
3251,Diepholz,4.4,31.2,4.6,227.0,2669.0,44.7391666666667,78.2,82.8,2074.2,84.5,837.3,736,4.4,64.7,106,47.8,22.9,28.9,51.6,93.9933333333333,211184,25847,43.6,2.4,0.5045410637169483
3252,Hameln-Pyrmont,6.5,60.7,8.3,310.0,2970.0,40.9058333333333,76.9,82.1,2372.5,83.9,1302.8,622,1.4,57.7,186,69.0,75.0,33.3,51.9,86.9875,150259,19849,45.4,2.1,0.5205278885125018
3254,Hildesheim,5.7,49.8,7.9,338.0,2885.0,15.615,77.3,82.5,2264.8,82.6,1473.0,604,1.7,102.4,228,63.7,66.8,33.0,48.8,90.5263157894737,277594,34393,44.0,2.2,0.5176408712003862
3255,Holzminden,6.6,72.8,8.3,216.0,2934.0,50.4,76.4,80.9,2363.7,87.4,959.2,605,-0.6,-99.0,103,68.6,29.5,32.3,53.3,88.8833333333333,73547,10290,45.5,2.3,0.5098236501828762
3256,Nienburg (Weser),5.9,43.1,6.2,214.0,2671.0,51.695,77.2,82.1,2172.8,84.3,749.3,598,0.8,41.7,86,53.5,26.5,31.0,51.3,93.11,122242,14316,43.3,2.4,0.5044338279805631
3257,Schaumburg,3.5,57.5,7.6,346.0,2750.0,35.0566666666667,77.6,82.6,2127.4,79.9,1283.0,550,2.8,-99.0,231,61.6,41.2,37.1,51.3,88.65,157497,20487,44.8,2.2,0.5151526695746586
3351,Celle,5.6,42.8,7.9,202.0,2984.0,18.8708333333333,77.4,82.6,2346.2,85.1,977.4,615,2.6,53.9,114,56.8,36.8,34.5,50.9,93.5,176690,21938,43.7,2.3,0.5124285471730149
3352,Cuxhaven,7.0,34.8,6.3,178.0,2670.0,27.8316666666667,77.4,82.1,1991.8,84.5,855.8,507,2.8,45.7,96,53.9,35.7,30.1,51.9,94.1538461538462,198778,26948,44.7,2.3,0.5118926641781284
3353,Harburg,3.2,21.2,5.0,454.0,2632.0,21.603333333333303,78.9,83.4,2103.7,80.8,1190.5,705,8.8,84.6,197,47.3,30.5,29.9,50.1,93.1666666666667,238442,29418,43.5,2.3,0.5143934373977739
3354,Lüchow-Dannenberg,6.1,48.6,10.6,71.0,2485.0,59.465,76.2,80.0,1959.7,89.1,491.0,489,4.3,-99.0,40,69.8,22.6,31.0,56.2,94.5,49205,7271,46.2,2.3,0.5095823595163094
